Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-11-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,106.0,11,,,,,
2025-11-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,515.0,41,,,,,
2025-11-11,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,119.0,12,,,,,
2025-11-11,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,495.0,41,,,,,
2025-11-11,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,186.0,22,,,,,
2025-11-12,"""Aerobics, general""",Cardio,498.0,53,,,,,
2025-11-13,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,112.0,10,,,,,
2025-11-13,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,121.0,12,,,,,
2025-11-13,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,381.0,41,,,,,
2025-11-15,"""Aerobics, general""",Cardio,523.0,47,,,,,
2025-11-16,"""Swimming laps, freestyle, light/moderate effort""",Cardio,453.0,41,,,,,
2025-11-17,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,122.0,10,,,,,
2025-11-17,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,129.0,12,,,,,
2025-11-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,451.0,40,,,,,
2025-11-18,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,103.0,10,,,,,
2025-11-18,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,130.0,10,,,,,
2025-11-18,"""Running (jogging), 5 mph (12 min mile)""",Cardio,507.0,41,,,,,
2025-11-19,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,127.0,11,,,,,
2025-11-19,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,140.0,11,,,,,
2025-11-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,479.0,40,,,,,
2025-11-20,"""Aerobics, general""",Cardio,551.0,62,,,,,
2025-11-21,"""Swimming laps, freestyle, light/moderate effort""",Cardio,499.0,46,,,,,
2025-11-23,"""Aerobics, general""",Cardio,376.0,45,,,,,
2025-11-24,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,114.0,10,,,,,
2025-11-24,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,105.0,10,,,,,
2025-11-24,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,455.0,40,,,,,
2025-11-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,581.0,46,,,,,
2025-11-26,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,491.0,43,,,,,
2025-11-27,"""Aerobics, general""",Cardio,557.0,52,,,,,
2025-11-29,"""Swimming laps, freestyle, light/moderate effort""",Cardio,683.0,44,,,,,
2025-11-30,"""Aerobics, general""",Cardio,558.0,55,,,,,
2025-12-01,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,536.0,46,,,,,
2025-12-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,529.0,42,,,,,
2025-12-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,490.0,41,,,,,
2025-12-04,"""Aerobics, general""",Cardio,504.0,48,,,,,
2025-12-05,"""Swimming laps, freestyle, light/moderate effort""",Cardio,532.0,45,,,,,
2025-12-07,"""Aerobics, general""",Cardio,504.0,53,,,,,
2025-12-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,501.0,42,,,,,
2025-12-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,547.0,45,,,,,
2025-12-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,462.0,41,,,,,
2025-12-11,"""Aerobics, general""",Cardio,285.0,26,,,,,
2025-12-13,"""Aerobics, general""",Cardio,552.0,54,,,,,
2025-12-15,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,545.0,40,,,,,
2025-12-16,"""Aerobics, general""",Cardio,577.0,41,,,,,
2025-12-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,400.0,40,,,,,
2025-12-18,"""Aerobics, general""",Cardio,598.0,51,,,,,
2025-12-19,"""Swimming laps, freestyle, light/moderate effort""",Cardio,537.0,42,,,,,
2025-12-22,"""Aerobics, general""",Cardio,599.0,51,,,,,
2025-12-23,"""Swimming laps, freestyle, light/moderate effort""",Cardio,569.0,42,,,,,
2025-12-26,"""Aerobics, general""",Cardio,567.0,51,,,,,
2025-12-30,"""Aerobics, general""",Cardio,618.0,51,,,,,
2025-12-31,"""Running (jogging), 5 mph (12 min mile)""",Cardio,364.0,35,,,,,
2026-01-02,"""Swimming laps, freestyle, light/moderate effort""",Cardio,580.0,43,,,,,
2026-01-04,"""Aerobics, general""",Cardio,561.0,59,,,,,
2026-01-05,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,417.0,36,,,,,
2026-01-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,465.0,41,,,,,
2026-01-07,"""Running (jogging), 5 mph (12 min mile)""",Cardio,417.0,35,,,,,
2026-01-08,"""Aerobics, general""",Cardio,632.0,48,,,,,
2026-01-09,"""Swimming laps, freestyle, light/moderate effort""",Cardio,468.0,45,,,,,
2026-01-10,"""Running (jogging), 5 mph (12 min mile)""",Cardio,481.0,40,,,,,
2026-01-11,"""Aerobics, general""",Cardio,571.0,53,,,,,
2026-01-12,"""Aerobics, general""",Cardio,430.0,36,,,,,
2026-01-13,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,509.0,40,,,,,
2026-01-14,"""Aerobics, general""",Cardio,500.0,54,,,,,
2026-01-20,"""Aerobics, general""",Cardio,357.0,35,,,,,
